id,name,docks,in_service,latitude,longitude,coordinate
2,Buckingham Fountain,39,yes,41.876535194,-87.620472908,"41.8765351944122,-87.62047290802002"
3,Shedd Aquarium,55,yes,41.867225957,-87.61535539,"41.86722595682,-87.6153553902"
4,Burnham Harbor,23,yes,41.857411787,-87.613791525,"41.85741178707404,-87.61379152536392"
5,State St & Harrison St,23,yes,41.874053,-87.627716,"41.874053,-87.627716"
6,Dusable Harbor,39,yes,41.886976,-87.612813,"41.886976,-87.612813"
7,Field Blvd & South Water St,19,yes,41.886349063,-87.617516547,"41.88634906269,-87.6175165471"
9,Leavitt St & Archer Ave,15,yes,41.82879202,-87.680604459,"41.82879201994,-87.6806044594"
11,Jeffery Blvd & 71st St,11,yes,41.766638237,-87.576450114,"41.76663823695,-87.5764501141"
12,South Shore Dr & 71st St,15,yes,41.766409457,-87.565687572,"41.7664094567,-87.5656875719"
13,Wilton Ave & Diversey Pkwy,35,yes,41.932418,-87.652705,"41.932418,-87.652705"
14,Morgan St & 18th St,15,yes,41.858086,-87.651073,"41.858086,-87.651073"
15,Racine Ave & 18th St,15,yes,41.858166,-87.656495,"41.858166,-87.656495"
16,Paulina Ave & North Ave,15,yes,41.909854652,-87.66993016,"41.90985465216731,-87.66993016004562"
17,Honore St & Division St,23,yes,41.903119,-87.673935,"41.903119,-87.673935"
18,Wacker Dr & Washington St,15,yes,41.883143364,-87.637242079,"41.88314336439022,-87.63724207878113"
19,Throop St & Taylor St,15,yes,41.868968,-87.659141,"41.868968,-87.659141"
20,Sheffield Ave & Kingsbury St,15,yes,41.910522,-87.653106,"41.910522,-87.653106"
21,Aberdeen St & Jackson Blvd,23,yes,41.87772613,-87.65478743,"41.87772613,-87.65478743"
22,May St & Taylor St,15,yes,41.8694821,-87.6554864,"41.8694821,-87.6554864"
23,Orleans St & Elm St,15,yes,41.902924,-87.637715,"41.902924,-87.637715"
24,Fairbanks Ct & Grand Ave,15,yes,41.891847372,-87.620580196,"41.89184737210993,-87.62058019638062"
25,Michigan Ave & Pearson St,23,yes,41.89766,-87.62351,"41.89766,-87.62351"
26,New St & Illinois St,31,yes,41.890847041,-87.618616819,"41.890847040623804,-87.61861681938171"
27,Larrabee St & North Ave,19,yes,41.91021,-87.6435,"41.91021,-87.6435"
28,Larrabee St & Menomonee St,15,yes,41.91468,-87.64332,"41.91468,-87.64332"
29,Noble St & Milwaukee Ave,15,yes,41.90068,-87.6626,"41.90068,-87.6626"
30,Ashland Ave & Augusta Blvd,15,yes,41.899643,-87.6677,"41.899643,-87.6677"
31,Franklin St & Chicago Ave,23,yes,41.896746973,-87.635667622,"41.896746973093805,-87.63566762208939"
32,Racine Ave & Congress Pkwy,19,yes,41.87464,-87.65703,"41.87464,-87.65703"
33,State St & Van Buren St,27,yes,41.877181,-87.627844,"41.877181,-87.627844"
34,Cannon Dr & Fullerton Ave,15,yes,41.926755988,-87.634428785,"41.9267559875,-87.6344287848"
35,Streeter Dr & Grand Ave,47,yes,41.892278,-87.612043,"41.892278,-87.612043"
36,Franklin St & Jackson Blvd,39,yes,41.877707956,-87.635321141,"41.8777079559,-87.6353211408"
37,Dearborn St & Adams St,19,yes,41.879356359,-87.629791036,"41.8793563587,-87.6297910363"
38,Clark St & Lake St,27,yes,41.886020828,-87.630876058,"41.88602082773,-87.6308760584"
39,Wabash Ave & Adams St,23,yes,41.879472352,-87.625688606,"41.87947235235,-87.6256886059"
40,LaSalle St & Adams St,15,yes,41.879344373,-87.631985221,"41.87934437346,-87.6319852213"
41,Federal St & Polk St,19,yes,41.872077633,-87.629543773,"41.87207763285,-87.6295437729"
42,Wabash Ave & Cermak Rd,11,yes,41.852619,-87.626488,"41.852619,-87.626488"
43,Michigan Ave & Washington St,43,yes,41.883984065,-87.624683976,"41.8839840647265,-87.6246839761734"
44,State St & Randolph St,23,yes,41.884621073,-87.627834231,"41.88462107257936,-87.62783423066139"
45,Michigan Ave & Ida B Wells Dr,15,yes,41.876243,-87.624426,"41.876243,-87.624426"
46,Wells St & Walton St,19,yes,41.89993001,-87.63443007,"41.89993001,-87.63443007"
47,State St & Kinzie St,31,yes,41.889375467,-87.627076507,"41.889375466631684,-87.62707650661469"
48,Larrabee St & Kingsbury St,43,yes,41.897764,-87.642884,"41.897764,-87.642884"
49,Dearborn St & Monroe St,39,yes,41.881319815,-87.629520919,"41.881319815,-87.6295209193"
50,Clark St & Ida B Wells Dr,35,yes,41.875932666,-87.630584536,"41.8759326655,-87.6305845355"
51,Clark St & Randolph St,43,yes,41.884576228,-87.63188991,"41.884576228,-87.63188991"
52,Michigan Ave & Lake St,35,yes,41.886024,-87.624117,"41.886024,-87.624117"
53,Wells St & Huron St,27,yes,41.894722,-87.634362,"41.894722,-87.634362"
54,Ogden Ave & Chicago Ave,19,yes,41.896362458,-87.654061273,"41.896362458,-87.6540612729"
55,Halsted St & Roosevelt Rd,23,yes,41.867324,-87.648625,"41.867324,-87.648625"
56,Desplaines St & Kinzie St,27,yes,41.888716036,-87.644447853,"41.888716036,-87.6444478533"
