old_name,new_name
900 W Harrison,900 W Harrison St
Aberdeen St & Madison St,Aberdeen St & Monroe St
Aberdeen St & Monroe St (Madison St),Aberdeen St & Monroe St
Albany (Kedzie) Ave & Montrose Ave,Albany Ave & Montrose Ave
Archer (Damen) Ave & 37th St,Archer Damen Ave & 37th St
Archer (Damen) Ave & 37th St (*),Archer Damen Ave & 37th St
Ashland Ave & 21st St,Laflin St & Cullerton St
Ashland Ave & 69th St,Damen Ave & 74th St
Ashland Ave & Harrison St,Paulina St & Flournoy St
Ashland Ave & Lake St (Temp),Ashland Ave & Lake St
Broadway & Wilson Ave,Broadway & Wilson - Truman College Vaccination Site
Burling St (Halsted) & Diversey Pkwy (Temp),Burling St & Diversey Pkwy
California Ave & Francis Pl,California Ave & Francis Pl Temp
California Ave & Francis Pl (Temp),California Ave & Francis Pl Temp
California Ave & Roosevelt Rd,Fairfield Ave & Roosevelt Rd
Canal St & Monroe St (*),Canal St & Monroe St
Chappel Ave & 79th St,Bennett Ave & 79th St
Chicago Ave & Dempster St,Dodge Ave & Main St
Clark St & 9th St (AMLI),Clark St & 9th St AMLI
Clark St & Congress Pkwy,Clark St & Ida B Wells Dr
Clark St & Winnemac Ave (Temp),Clark St & Winnemac Ave
Clifton Ave & Lawrence Ave,Winthrop Ave & Lawrence Ave
Clinton St & Jackson Blvd (*),Clinton St & Jackson Blvd
Clinton St & Polk St (*),Clinton St & Polk St
Cornell Ave & Hyde Park B lvd,Cornell Ave & Hyde Park Blvd
Damen Ave & 61st St,Damen Ave & 59th St
Damen Ave & Augusta Blvd,Damen Ave & Thomas St Augusta Blvd
Damen Ave & Garfield Blvd,Seeley Ave & Garfield Blvd
Damen Ave & Thomas St (Augusta Blvd),Damen Ave & Thomas St Augusta Blvd
Damen Ave & Walnut (Lake) St (*),Damen Ave & Walnut Lake St
Dearborn St & Van Buren St (*),Dearborn St & Van Buren St
Drake Ave & Fullerton Ave,St. Louis Ave & Fullerton Ave
Eberhart (Vernon) Ave & 79th St,Vernon Ave & 79th St
Eggleston Ave & 69th St (*),Eggleston Ave & 69th St
Elizabeth (May) St & Fulton St,Elizabeth May St & Fulton St
Fairbanks St & Superior St (*),Fairbanks St & Superior St
Financial Pl & Congress Pkwy,Financial Pl & Ida B Wells Dr
Financial Pl & Congress Pkwy (Temp),Financial Pl & Ida B Wells Dr
Financial Pl & Ida B Wells Dr (Temp),Financial Pl & Ida B Wells Dr
Franklin St & Adams St (Temp),Franklin St & Adams St Temp
Franklin St & Arcade Pl,Franklin St & Monroe St
Franklin St & Chicago Ave (Temp),Franklin St & Chicago Ave
Franklin St & Quincy St,Franklin St & Adams St Temp
Green St (Halsted St) & Madison St,Green St & Madison St
Halsted St & 35th St (*),Halsted St & 35th St
Halsted St & Blackhawk St,Halsted St & Clybourn Ave
Halsted St & Blackhawk St (*),Halsted St & Clybourn Ave
Halsted St & Clybourn Ave (*),Halsted St & Clybourn Ave
Halsted St & Diversey Pkwy,Burling St & Diversey Pkwy
Halsted St & James M Rochford St,Halsted St & Roosevelt Rd
Halsted St & Madison St,Green St & Madison St
Halsted St & Waveland Ave,Broadway & Waveland Ave
Hampden Ct & Diversey Pkwy,Clark St & Drummond Pl
Kedzie Ave & Montrose Ave,Albany Ave & Montrose Ave
Keeler Ave & Irving Park Rd,Avondale Ave & Irving Park Rd
Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave
Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy
Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St
Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd
Lake Shore Dr & Ohio St,McClurg Ct & Ohio St
Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave
LaSalle (Wells) St & Huron St,Wells St & Huron St
LaSalle Dr & Huron St (*),LaSalle Dr & Huron St
Lawndale Ave & 23rd St,Central Park Ave & 24th St
Leavitt St & Belmont Ave (*),Leavitt St & Belmont Ave
Leavitt St & Division St (*),Leavitt St & Division St
Leavitt St & Hirsch St,Elston Ave & Wabansia Ave
Lincoln Ave & Leavitt St,Lincoln Ave & Sunnyside Ave
Loomis St & Taylor St,Throop St & Taylor St
Loomis St & Taylor St (*),Throop St & Taylor St
Malcolm X College,Malcolm X College Vaccination Site
Marshfield Ave & Cortland St,Elston Ave & Cortland St
Mason Ave & Madison St,Austin Blvd & Madison St
May St & Fulton St,Elizabeth May St & Fulton St
May St & Randolph St,Racine Ave & Randolph St
McClurg Ct & Illinois St,New St & Illinois St
Michigan Ave & 16th St,Michigan Ave & 18th St
Michigan Ave & Balbo Ave,Buckingham Fountain
Michigan Ave & Congress Pkwy,Michigan Ave & Ida B Wells Dr
MLK Jr Dr & 56th St (*),MLK Jr Dr & 56th St
MLK Jr Dr & Oakwood Blvd,MLK Jr Dr & Pershing Rd
Museum Campus,Field Museum
Oakley Ave & Roscoe St,Western Ave & Roscoe St
Orleans St & Chestnut St (NEXT Apts),Orleans St & Chestnut St NEXT Apts
Orleans St & Elm St (*),Orleans St & Elm St
Orleans St & Hubbard St (*),Orleans St & Hubbard St
Orleans St & Ohio St,Wells St & Hubbard St
Paulina  Ave (Wood St) & North Ave,Paulina Ave & North Ave
Phillips Ave & 82nd St,Phillips Ave & 83rd St
Princeton Ave & 31st St,Shields Ave & 31st St
Princeton Ave & China Pl,Canal St & Taylor St
Pulaksi Rd & Eddy St,Pulaski Rd & Eddy St Temp
Pulaski Rd & Eddy St,Pulaski Rd & Eddy St Temp
Pulaski Rd & Eddy St (Temp),Pulaski Rd & Eddy St Temp
Pulaski Rd & Madison St,Karlov Ave & Madison St
Racine Ave & Washington Blvd (*),Racine Ave & Washington Blvd
Racine Ave (May St) & Fulton St,Elizabeth May St & Fulton St
Ravenswood Ave & Balmoral Ave,Winchester Ravenswood Ave & Balmoral Ave
Ravenswood Ave & Montrose Ave,Wolcott Ravenswood Ave & Montrose Ave
Ravenswood Ave & Montrose Ave (*),Wolcott Ravenswood Ave & Montrose Ave
Sangamon St & Washington Blvd (*),Sangamon St & Washington Blvd
Sheffield Ave & Addison St,Sheffield Ave & Waveland Ave
Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St NU
Shore Drive & 55th St,Shore Dr & 55th St
Smith Park (*),Smith Park
St Clair St & Erie St,St. Clair St & Erie St
State St & 16th St,Wabash Ave & 16th St
State St & Erie St,Dearborn St & Erie St
Stewart Ave & 63rd St (*),Stewart Ave & 63rd St
Streeter Dr & Illinois St,Streeter Dr & Grand Ave
Throop (Loomis) St & Taylor St,Throop St & Taylor St
Union Ave & 42nd St,Union Ave & Root St
Union Ave & Grand Ave,Milwaukee Ave & Grand Ave
University Library (NU),University Library NU
Wabash Ave & 8th St,Wabash Ave & 9th St
Wabash Ave (State St) & 16th St,Wabash Ave & 16th St
Wallace Ave & 35th St,Wallace St & 35th St
Washtenaw Ave & 15th St,Washtenaw Ave & Ogden Ave
Washtenaw Ave & 15th St (*),Washtenaw Ave & Ogden Ave
