"id","name"
1,"Special Events"
2,"Michigan Ave & Balbo Ave"
16,"Paulina  Ave (Wood St) & North Ave"
16,"Wood St & North Ave"
17,"Wood St & Division St"
19,"Loomis St & Taylor St"
19,"Loomis St & Taylor St (*)"
19,"Throop (Loomis) St & Taylor St"
23,"Orleans St & Elm St (*)"
26,"McClurg Ct & Illinois St"
31,"Franklin St & Chicago Ave (Temp)"
35,"Streeter Dr & Illinois St"
45,"Michigan Ave & Congress Pkwy"
50,"Clark St & Congress Pkwy"
53,"LaSalle (Wells) St & Huron St"
53,"Wells St & Erie St"
55,"Halsted St & James M Rochford St"
58,"Marshfield Ave & Cortland St"
72,"State St & 16th St"
72,"Wabash Ave (State St) & 16th St"
76,"Lake Shore Dr & Monroe St"
80,"Aberdeen St & Madison St"
80,"Aberdeen St & Monroe St (Madison St)"
84,"Union Ave & Grand Ave"
88,"May St & Randolph St"
89,"Financial Pl & Congress Pkwy"
89,"Financial Pl & Congress Pkwy (Temp)"
89,"Financial Pl & Ida B Wells Dr (Temp)"
97,"Museum Campus"
99,"Lake Shore Dr & Ohio St"
103,"Clinton St & Polk St (*)"
109,"900 W Harrison"
110,"State St & Erie St"
114,"Sheffield Ave & Addison St"
119,"Ashland Ave & Lake St (Temp)"
120,"Wentworth Ave & Archer Ave"
120,"Wentworth Ave & Cermak Rd (Temp)"
132,"Wentworth Ave & 24th St"
132,"Wentworth Ave & 24th St (Temp)"
157,"Lake Shore Dr & Wellington Ave"
179,"MLK Jr Dr & Oakwood Blvd"
183,"Damen Ave & Augusta Blvd"
183,"Damen Ave & Thomas St (Augusta Blvd)"
191,"Canal St & Monroe St (*)"
198,"Green St (Halsted St) & Madison St"
198,"Halsted St & Madison St"
208,"Ashland Ave & 21st St"
211,"St Clair St & Erie St"
212,"Orleans St & Ohio St"
217,"Elizabeth (May) St & Fulton St"
217,"May St & Fulton St"
217,"Racine Ave (May St) & Fulton St"
220,"Hampden Ct & Diversey Pkwy"
233,"Sangamon St & Washington Blvd (*)"
238,"Ravenswood Ave & Montrose Ave"
