old_name,new_id
2112 W Peterson Ave,456
63rd St Beach,101
900 W Harrison St,109
Aberdeen St & Jackson Blvd,21
Aberdeen St & Monroe St,80
Aberdeen St & Randolph St,621
Ada St & 113th St,727
Ada St & Washington Blvd,346
Adler Planetarium,341
Albany Ave & 26th St,444
Albany Ave & Bloomingdale Ave,511
Albany Ave & Montrose Ave,480
Altgeld Gardens,739
Archer (Damen) Ave & 37th St,645
Artesian Ave & Hubbard St,376
Ashland Ave & 13th St,275
Ashland Ave & 50th St,555
Ashland Ave & 63rd St,563
Ashland Ave & 66th St,565
Ashland Ave & 74th St,679
Ashland Ave & 78th St,683
Ashland Ave & Archer Ave,368
Ashland Ave & Augusta Blvd,30
Ashland Ave & Belle Plaine Ave,246
Ashland Ave & Blackhawk St,333
Ashland Ave & Chicago Ave,350
Ashland Ave & Division St,210
Ashland Ave & Garfield Blvd,558
Ashland Ave & Grace St,347
Ashland Ave & Grand Ave,277
Ashland Ave & Lake St,119
Ashland Ave & McDowell Ave,552
Ashland Ave & Pershing Rd,547
Ashland Ave & Wellington Ave,250
Ashland Ave & Wrightwood Ave,166
Austin Blvd & Chicago Ave,524
Austin Blvd & Lake St,532
Austin Blvd & Madison St,544
Avenue L & 114th St,1448642175142467184
Avenue O & 118th St,719
Avenue O & 134th St,704
Avers Ave & Belmont Ave,496
Avondale Ave & Irving Park Rd,483
Baltimore Ave & 87th St,693
Base - 2132 W Hubbard Warehouse,671
Bennett Ave & 79th St,578
Bernard St & Elston Ave,640
Big Marsh Park,717
Bissell St & Armitage Ave,113
Blackstone Ave & Hyde Park Blvd,121
Blue Island Ave & 18th St,129
Bosworth Ave & Howard St,522
Bradley Park,731
Broadway & Argyle St,295
Broadway & Barry Ave,300
Broadway & Belmont Ave,296
Broadway & Berwyn Ave,294
Broadway & Cornelia Ave,303
Broadway & Granville Ave,454
Broadway & Ridge Ave,461
Broadway & Sheridan Rd,256
Broadway & Thorndale Ave,458
Broadway & Waveland Ave,304
Broadway & Wilson - Truman College Vaccination Site,293
Broadway & Wilson Ave,293
Buckingham Fountain,2
Budlong Woods Library,468
Burling St & Diversey Pkwy,332
Burnham Greenway & 105th St,710
Burnham Harbor,4
California Ave & 21st St,348
California Ave & 23rd Pl,442
California Ave & 26th St,445
California Ave & Altgeld St,502
California Ave & Byron St,487
California Ave & Cortez St,622
California Ave & Division St,216
California Ave & Fletcher St,498
California Ave & Francis Pl (Temp),259
California Ave & Lake St,378
California Ave & Milwaukee Ave,123
California Ave & Montrose Ave,481
California Ave & North Ave,276
Calumet Ave & 18th St,338
Calumet Ave & 21st St,370
Calumet Ave & 33rd St,149
Calumet Ave & 35th St,335
Calumet Ave & 51st St,415
Calumet Ave & 71st St,393
Calumet Park,738
Campbell Ave & Fullerton Ave,504
Campbell Ave & Montrose Ave,482
Campbell Ave & North Ave,160
Canal St & Adams St,192
Canal St & Harrison St,169
Canal St & Jackson Blvd,75
Canal St & Madison St,174
Canal St & Monroe St,191
Canal St & Taylor St,414
Cannon Dr & Fullerton Ave,34
Carpenter St & 63rd St,648
Carpenter St & Huron St,92
Central Ave & Chicago Ave,550
Central Ave & Harrison St,541
Central Ave & Lake St,531
Central Ave & Madison St,542
Central Park Ave & 24th St,440
Central Park Ave & Bloomingdale Ave,641
Central Park Ave & Douglas Blvd,1561012870126088744
Central Park Ave & Elbridge Ave,500
Central Park Ave & North Ave,508
Central Park Ave & Ogden Ave,438
Central Park Blvd & 5th Ave,533
Central St & Girard Ave,602
Central St Metra,601
Cherry Ave & Blackhawk St,666
Chicago Ave & Dempster St,
Chicago Ave & Sheridan Rd,603
Chicago Ave & Washington St,597
Chicago State University,737
Christiana Ave & Lawrence Ave,474
Cicero Ave & Flournoy St,538
Cicero Ave & Lake St,529
Cicero Ave & Quincy St,539
Cityfront Plaza Dr & Pioneer Ct,196
Claremont Ave & Hirsch St,159
Clarendon Ave & Gordon Ter,312
Clarendon Ave & Junior Ter,245
Clarendon Ave & Leland Ave,251
Clark St & 9th St (AMLI),394
Clark St & Armitage Ave,94
Clark St & Berwyn Ave,463
Clark St & Bryn Mawr Ave,460
Clark St & Chicago Ave,337
Clark St & Columbia Ave,449
Clark St & Drummond Pl,220
Clark St & Elm St,176
Clark St & Elmdale Ave,457
Clark St & Grace St,165
Clark St & Ida B Wells Dr,50
Clark St & Lake St,38
Clark St & Leland Ave,326
Clark St & Lincoln Ave,141
Clark St & Lunt Ave,432
Clark St & Montrose Ave,234
Clark St & North Ave,126
Clark St & Randolph St,51
Clark St & Schiller St,301
Clark St & Schreiber Ave,453
Clark St & Touhy Ave,353
Clark St & Wellington Ave,156
Clark St & Winnemac Ave,325
Clark St & Wrightwood Ave,340
Clifton Ave & Armitage Ave,223
Clinton St & 18th St,170
Clinton St & Lake St,66
Clinton St & Madison St,77
Clinton St & Polk St,103
Clinton St & Roosevelt Rd,57
Clinton St & Tilden St,68
Clinton St & Washington Blvd,91
Clybourn Ave & Division St,138
Clyde Ave & 87th St,708
Columbus Dr & Randolph St,195
Commercial Ave & 100th St,734
Commercial Ave & 130th St,722
Commercial Ave & 83rd St,581
Constance Ave & 95th St,701
Cornell Ave & Hyde Park Blvd,417
Cottage Grove Ave & 111th Pl,698
Cottage Grove Ave & 43rd St,271
Cottage Grove Ave & 47th St,336
Cottage Grove Ave & 51st St,351
Cottage Grove Ave & 63rd St,427
Cottage Grove Ave & 67th St,429
Cottage Grove Ave & 71st St,400
Cottage Grove Ave & Oakwood Blvd,265
Daley Center Plaza,81
Damen Ave & Charleston St,310
Damen Ave & Chicago Ave,128
Damen Ave & Clybourn Ave,163
Damen Ave & Cortland St,219
Damen Ave & Coulter St,167
Damen Ave & Cullerton St,124
Damen Ave & Division St,130
Damen Ave & Foster Ave,464
Damen Ave & Grand Ave,214
Damen Ave & Leland Ave,242
Damen Ave & Madison St,215
Damen Ave & Melrose Ave,228
Damen Ave & Pierce Ave,69
Damen Ave & Sunnyside Ave,316
