old_name,new_name
351,Cottage Grove Ave & 51st St
Archer (Damen) Ave & 37th St,Archer Damen Ave & 37th St
Base - 2132 W Hubbard Warehouse,Divvy Service Warehouse
Broadway & Wilson Ave,Broadway & Wilson - Truman College Vaccination Site
Burling St (Halsted) & Diversey Pkwy (Temp),Burling St & Diversey Pkwy
California Ave & Francis Pl (Temp),California Ave & Francis Pl Temp
Clark St & 9th St (AMLI),Clark St & 9th St AMLI
Damen Ave & Thomas St (Augusta Blvd),Damen Ave & Thomas St Augusta Blvd
Damen Ave & Walnut (Lake) St,Damen Ave & Walnut Lake St
Damen Ave & Walnut (Lake) St (*),Damen Ave & Walnut Lake St
Drake Ave & Fullerton Ave,St. Louis Ave & Fullerton Ave
Eggleston Ave & 69th St (*),Eggleston Ave & 69th St
Elizabeth (May) St & Fulton St,Elizabeth May St & Fulton St
Franklin St & Adams St (Temp),Franklin St & Adams St Temp
Halsted St & 18th St (Temp),Halsted St & 18th St
Halsted St & 63rd St,Halsted & 63rd - Kennedy-King Vaccination Site
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),Divvy Service Warehouse
hubbard_test_lws,Divvy Service Warehouse
Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave
Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy
Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St
Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd
Lake Shore Dr & Wellington Ave,DuSable Lake Shore Dr & Wellington Ave
Leavitt St & Belmont Ave (*),Leavitt St & Belmont Ave
Leavitt St & Division St (*),Leavitt St & Division St
Malcolm X College,Malcolm X College Vaccination Site
Marshfield Ave & Cortland St,Elston Ave & Cortland St
McClurg Ct & Illinois St,New St & Illinois St
N Clark St & W Elm St,Clark St & Elm St
N Damen Ave & W Chicago Ave,Damen Ave & Chicago Ave
N Damen Ave & W Wabansia St,Damen Ave & Wabansia Ave
N Hampden Ct & W Diversey Ave,Hampden Ct & Diversey Ave
N Sheffield Ave & W Wellington Ave,Sheffield Ave & Wellington Ave
N Shore Channel Trail & Argyle Ave,N Shore Channel Trail & Argyle St
Orleans St & Chestnut St (NEXT Apts),Orleans St & Chestnut St NEXT Apts
Ping Tom Park (East),Ping Tom Park East
Pulaski Rd & Eddy St (Temp),Pulaski Rd & Eddy St Temp
Racine Ave & Washington Blvd (*),Racine Ave & Washington Blvd
Sheridan Rd & Noyes St (NU),Sheridan Rd & Noyes St NU
Smith Park (*),Smith Park
Stewart Ave & 63rd St (*),Stewart Ave & 63rd St
Throop (Loomis) St & Taylor St,Throop St & Taylor St
University Library (NU),University Library NU
Wentworth Ave & 24th St (Temp),Wentworth Ave & 24th St Temp
Wentworth Ave & Cermak Rd (Temp),Wentworth Ave & Cermak Rd
WEST CHI-WATSON,WATSON TESTING - DIVVY
Western Ave & 28th St,Western & 28th - Velasquez Institute Vaccination Site
Western Ave & Fillmore St (*),Western Ave & Fillmore St
Whipple St & Irving Park Rd,Whipple/Irving Park
Winchester (Ravenswood) Ave & Balmoral Ave,Winchester Ravenswood Ave & Balmoral Ave
Wolcott (Ravenswood) Ave & Montrose Ave,Wolcott Ravenswood Ave & Montrose Ave
Wood St & Chicago Ave (*),Wood St & Chicago Ave
Wood St & Taylor St,Wood St & Taylor St Temp
Wood St & Taylor St (Temp),Wood St & Taylor St Temp
Lake Shore Dr & Ohio St,DuSable Lake Shore Dr & Ohio St
