id,name
19,Throop (Loomis) St & Taylor St
20,Damen Ave & Wabansia Ave
26,McClurg Ct & Illinois St
58,Marshfield Ave & Cortland St
76,Lake Shore Dr & Monroe St
99,Lake Shore Dr & Ohio St
120,Wentworth Ave & Cermak Rd (Temp)
132,Wentworth Ave & 24th St (Temp)
157,Lake Shore Dr & Wellington Ave
183,Damen Ave & Thomas St (Augusta Blvd)
217,Elizabeth (May) St & Fulton St
238,Wolcott (Ravenswood) Ave & Montrose Ave
259,California Ave & Francis Pl (Temp)
268,Lake Shore Dr & North Blvd
286,Franklin St & Adams St (Temp)
293,Broadway & Wilson Ave
317,Wood St & Taylor St
317,Wood St & Taylor St (Temp)
329,Lake Shore Dr & Diversey Pkwy
329,Central Park Ave & Douglas Blvd
330,Keeler Ave & Roosevelt Rd
331,Pulaski Rd & 21st St
332,Burling St (Halsted) & Diversey Pkwy (Temp)
332,Harding Ave & 26th St
334,Lake Shore Dr & Belmont Ave
334,Lawndale Ave & 30th St
335,Komensky Ave & 31st St
351,351
357,Lamon Ave & Armitage Ave
358,Kilpatrick Ave & Parker Ave
360,Kilbourn & Roscoe
361,Kenosha & Wellington
362,Lawndale Ave & 16th St
363,Tripp Ave & 15th St
364,Homan Ave & Fillmore St
365,Kildare Ave & 26th St
366,Spaulding Ave & 16th St
368,Tripp Ave & 31st St
371,Kildare Ave & Chicago Ave
379,Rockwell St & Archer Ave
380,Fairfield Ave & 44th St
387,St Louis Ave & 59th St
389,Maplewood Ave & 59th St
394,Clark St & 9th St (AMLI)
397,Narragansett Ave & School St
404,Pulaski Rd & 60th St
437,Whipple St & Irving Park Rd
444,N Shore Channel Trail & Argyle Ave
446,Western Ave & 28th St
459,Lakefront Trail & Bryn Mawr Ave
462,Winchester (Ravenswood) Ave & Balmoral Ave
473,Mason Ave & Belmont Ave
488,Pulaski Rd & Eddy St (Temp)
503,Drake Ave & Fullerton Ave
566,Ashland Ave & 69th St
604,Sheridan Rd & Noyes St (NU)
605,University Library (NU)
620,Orleans St & Chestnut St (NEXT Apts)
625,Chicago Ave & Dempster St
631,Malcolm X College
637,Wood St & Chicago Ave (*)
643,Smith Park (*)
644,Western Ave & Fillmore St (*)
645,Archer (Damen) Ave & 37th St
649,Stewart Ave & 63rd St (*)
650,Eggleston Ave & 69th St (*)
651,Michigan Ave & 71st St
654,Racine Ave & Washington Blvd (*)
656,Damen Ave & Walnut (Lake) St
656,Damen Ave & Walnut (Lake) St (*)
658,Leavitt St & Division St (*)
664,Leavitt St & Belmont Ave (*)
670,MTL-ECO5.1-01
671,HUBBARD ST BIKE CHECKING (LBS-WH-TEST)
675,HQ QR
676,WATSON TESTING - DIVVY
704,Jeffery Blvd & 91st St
13001,Michigan Ave & Washington St
13006,LaSalle St & Washington St
13008,Millennium Park
13011,Canal St & Adams St
13016,St. Clair St & Erie St
13017,Franklin St & Chicago Ave
13021,Clinton St & Lake St
13022,Streeter Dr & Grand Ave
13028,900 W Harrison St
13029,Field Museum
13033,Milwaukee Ave & Grand Ave
13034,Michigan Ave & Pearson St
13036,Michigan Ave & Madison St
13037,Clinton St & Tilden St
13042,Michigan Ave & Oak St
13045,Dearborn St & Erie St
13050,State St & Kinzie St
13053,Green St & Randolph St
13056,Canal St & Monroe St
13058,Dayton St & North Ave
13059,Bissell St & Armitage Ave
13061,Ashland Ave & Division St
13063,Sheridan Rd & Irving Park Rd
13068,Western Ave & Winnebago Ave
13071,Southport Ave & Roscoe St
13073,Ashland Ave & Lake St
13074,Broadway & Wilson - Truman College Vaccination Site
13074,Broadway & Wilson Ave
13075,Wentworth Ave & Cermak Rd
13080,Hermitage Ave & Polk St
13081,Ogden Ave & Congress Pkwy
13083,Indiana Ave & 40th St
13084,California Ave & Milwaukee Ave
13085,Kedzie Ave & Milwaukee Ave
13089,Damen Ave & Cullerton St
13091,Western Ave & 21st St
13096,California Ave & 21st St
13099,Halsted St & 18th St
13099,Halsted St & 18th St (Temp)
13102,Calumet Ave & 18th St
13108,Broadway & Argyle St
13109,Broadway & Berwyn Ave
13124,Cannon Dr & Fullerton Ave
13128,Clark St & North Ave
13132,Damen Ave & Chicago Ave
13133,Damen Ave & Cortland St
13134,Damen Ave & Madison St
13135,Blue Island Ave & 18th St
13136,Damen Ave & Division St
13137,Broadway & Barry Ave
13138,Canal St & Jackson Blvd
13139,Throop St & Taylor St
13143,Damen Ave & Melrose Ave
13144,Seeley Ave & Roscoe St
13146,Clark St & Armitage Ave
13150,Michigan Ave & 18th St
13154,Sheffield Ave & Kingsbury St
13155,Racine Ave & Randolph St
13156,Aberdeen St & Monroe St
13157,Aberdeen St & Jackson Blvd
13158,Peoria St & Jackson Blvd
13160,May St & Taylor St
13162,Halsted St & 21st St
13163,Morgan St & 18th St
13164,Racine Ave & 18th St
13165,Racine Ave & 13th St
13179,Clark St & Lincoln Ave
